year,manufactures_pct,fuel_pct,agri_raw_pct,ores_metals_pct
1970,6.54665246282083,7.3472731545388,50.0483913332796,22.5700953279555
1971,7.52979604793447,10.3356124068389,46.0061252541253,19.2623612884101
1972,10.1760629543446,6.86179290500308,45.0714223392275,20.219310926646
1973,11.3988100564482,5.40469345129688,55.3521348476363,13.0260916172052
1974,12.9280700859725,8.48795317558003,43.577310069438,15.5387461608605
1975,17.2711249990766,10.8813947798959,34.1270404175542,13.8609179868815
1976,15.0813828873804,14.4412350927965,41.0674517076362,12.3998518018801
1977,15.0113847808478,14.2803960934047,38.6981636812992,12.4197646079645
1978,18.621558754775,14.0444598620772,36.2882065838736,12.7797700923417
1979,17.4757281375442,18.2430473593673,36.1813804324403,10.6656644226062
1980,18.7542492568854,24.7196137944046,31.001323006685,10.1899706770864
1981,19.5938227238037,26.6227156763036,27.390385447757,9.01784737894075
1982,22.8454259813029,28.6689905230763,26.0168113249898,6.2483144200711
1983,24.7219038045171,28.7064761598907,24.2628015012628,6.34674362288779
1984,26.5338599518817,29.9293086110814,20.1455092201391,3.99458688780002
1985,27.1705432903901,31.5379413291354,18.3762290665725,5.31829412448798
1986,37.0477816927862,22.8510979672511,21.1000777999442,2.9682204213866
1987,39.2646912117345,19.946254510236,22.6354708485175,3.05532957078934
1988,43.5142144495172,15.8004651707948,21.5339368353273,2.99463700600567
1989,48.6361818736114,16.2531767685105,17.9008953573418,3.00117033279223
1990,53.7283628708499,18.3246786659203,13.8049943358295,2.07630453965873
1991,60.5351384718369,15.5136567596019,11.2803085713823,1.53283715931142
1992,64.3485975717589,12.9456083975017,10.2375441181646,1.53543154473017
1993,69.6208621544511,10.2872071723321,8.7453627027459,1.23658119104857
1994,73.6205759289491,7.36711656369119,7.15735683230802,1.26943051353493
1995,74.6718057374351,6.99098624246929,6.18389477635498,1.34620998334869
1996,75.7047002083294,8.06254897399257,5.20994324762897,1.22259310061571
1997,76.4387790085203,8.12358325897909,4.35060444138311,1.20948827302944
1998,78.6923053238898,6.16330540050364,3.05456783339872,1.19655036074314
1999,80.2761103134803,6.79583089381515,2.91743651923609,1.1509148696633
2000,80.3553212964524,9.6183788648881,2.62166031629589,1.03989617981973
2001,80.0269016341535,9.71984242561603,2.1150121684883,1.02358956472504
2002,78.2663766825805,8.39065728551289,2.24931812279421,0.934102942850581
2003,76.6984559604185,10.0750778982487,2.3926282976905,0.87114324922253
2004,75.5185807199386,11.5989903056011,2.45105740426016,1.10960259462128
2005,74.545076553968,13.4060044181637,2.47911409096325,1.12341466163758
2006,73.3888626310126,13.7316107502249,2.73721078320376,1.33413613927732
2007,70.893336469631,14.3947328217767,2.45972660907967,1.58482886498104
2008,54.1517680056406,18.3497201239377,2.35122398015465,1.78781000240496
2009,69.6001051495691,14.7636800620585,2.05762584665344,1.53300434287036
2010,67.0010259669268,15.8464170995942,2.64559836130296,1.95008385089786
2011,62.0434186980999,17.7387093045849,3.16591111931744,2.47740028216928
2012,61.5492703719571,20.4071462425974,2.40056527578499,2.32139853223928
2013,60.6315003418679,22.272387421079,2.16598303021311,3.29270010178921
2014,61.5701463861358,22.0894873095308,1.76060618807828,2.8776981536232
2015,66.414936202965,16.4637462888258,1.84500168501232,3.92523548375553
2016,68.0179738974581,14.0025952445656,1.93698849135515,3.8542428518838
2017,66.5950762518143,15.4036825994082,2.12696368811702,3.94778108538485
2018,68.4240772452125,15.6707664196549,1.68245537265053,4.26651904642306
2019,70.1215212704831,14.4392776477319,1.69909249623657,3.86055942973732
2020,73.1260443884642,11.3856806445869,1.56448194135702,3.50293974590154
2021,70.2832707695381,12.447410329578,1.43359401549096,4.71802600814694
2022,66.6596858804422,17.0810793062688,1.19341792760023,3.94576691783134
2023,68.3939118895688,16.512163379367,1.17817215757273,3.79046184791075
2024,69.7825556725704,14.4033158188559,1.25365419098266,3.6968299912749
