country,iso3,year,agri_raw_pct_exports,fuel_pct_exports,gdp_per_capita_usd,gdp_usd,hightech_pct_manufactured_exports,ict_goods_pct_exports,manufactures_pct_exports,merchandise_exports_usd,net_migration,ores_metals_pct_exports,remittances_pct_gdp,remittances_usd
Malaysia,MYS,2000,2.62166031629589,9.6183788648881,4083.52874483605,93789736842.1053,,52.68,80.3553212964524,98229000000.0,125499.0,1.03989617981973,0.365038257468414,342368421.052632
Malaysia,MYS,2001,2.1150121684883,9.71984242561603,3943.79943910239,92783947368.4211,,51.49,80.0269016341535,87969000000.0,173613.0,1.02358956472504,0.395656009007911,367105263.157895
Malaysia,MYS,2002,2.24931812279421,8.39065728551289,4184.03163773539,100845526315.789,,50.74,78.2663766825805,94061000000.0,196227.0,0.934102942850581,0.431352798574161,435000000.0
Malaysia,MYS,2003,2.3926282976905,10.0750778982487,4465.32194567208,110202368421.053,,48.54,76.6984559604185,104706000000.0,199510.0,0.87114324922253,0.518185443526144,571052631.578947
Malaysia,MYS,2004,2.45105740426016,11.5989903056011,4939.24851854427,124749473684.211,,45.16,75.5185807199386,126646000000.0,212278.0,1.10960259462128,0.642783009315513,801868421.052632
Malaysia,MYS,2005,2.47911409096325,13.4060044181637,5555.58179951206,143534405818.501,,43.39,74.545076553968,141626000000.0,225864.0,1.12341466163758,0.778191510217667,1116972560.32095
Malaysia,MYS,2006,2.73721078320376,13.7316107502249,6158.40785533236,162692258307.056,,42.7,73.3888626310126,160749000000.0,232971.0,1.33413613927732,0.839300079361867,1365476253.08673
Malaysia,MYS,2007,2.45972660907967,14.3947328217767,7168.93031942508,193549569477.733,,39.35,70.893336469631,175966000000.0,229784.0,1.58482886498104,0.804050512417782,1556236305.16812
Malaysia,MYS,2008,2.35122398015465,18.3497201239377,8371.82156086005,230811614370.384,,24.48,54.1517680056406,199414000000.0,202481.0,1.78781000240496,0.575824944244283,1329070849.75759
Malaysia,MYS,2009,2.05762584665344,14.7636800620585,7191.43287234626,202257453036.641,51.224505755519,36.46,69.6001051495691,157244000000.0,178410.0,1.53300434287036,0.559125184834752,1130872358.13318
Malaysia,MYS,2010,2.64559836130296,15.8464170995942,8899.34505544675,255017638455.59,49.6090958943542,34.01,67.0010259669268,198612000000.0,157164.0,1.95008385089786,0.432489840716057,1102925378.35443
Malaysia,MYS,2011,3.16591111931744,17.7387093045849,10217.1068585031,297951668674.835,47.4089039264371,29.44,62.0434186980999,228086000000.0,122269.0,2.47740028216928,0.406608260024417,1211496095.71246
Malaysia,MYS,2012,2.40056527578499,20.4071462425974,10600.5744240026,314443047642.111,47.5749674208281,27.9,61.5492703719571,227538000000.0,134975.0,2.32139853223928,0.411459483093052,1293805738.45027
Malaysia,MYS,2013,2.16598303021311,22.272387421079,10713.6407638899,323276235524.415,48.4707442408569,28.21,60.6315003418679,228331000000.0,149637.0,3.29270010178921,0.440295355965007,1423370251.9525
Malaysia,MYS,2014,1.76060618807828,22.0894873095308,11013.3107334403,338066095097.254,49.2192547300414,28.73,61.5701463861358,233927000000.0,159791.0,2.8776981536232,0.467221522754598,1579517557.4304
Malaysia,MYS,2015,1.84500168501232,16.4637462888258,9648.6797937523,301355266964.947,48.4853806485296,30.05,66.414936202965,199952000000.0,187663.0,3.92523548375553,0.545442877050346,1643720838.27636
Malaysia,MYS,2016,1.93698849135515,14.0025952445656,9476.53409809923,301256033870.334,49.058669616671,30.53,68.0179738974581,189743000000.0,222141.0,3.8542428518838,0.532410432040039,1603918551.47573
Malaysia,MYS,2017,2.12696368811702,15.4036825994082,9862.54806612235,319109094160.343,51.124071112731,31.02,66.5950762518143,218130000000.0,227677.0,3.94778108538485,0.516733919100736,1648944928.4616
Malaysia,MYS,2018,1.68245537265053,15.6707664196549,10901.8019954421,358788845712.53,53.1812872322082,32.99,68.4240772452125,247455000000.0,221965.0,4.26651904642306,0.469796796132669,1685578502.03885
Malaysia,MYS,2019,1.69909249623657,14.4392776477319,10920.191763972,365177721021.516,51.5927774360365,32.23,70.1215212704831,238195000000.0,203284.0,3.86055942973732,0.437418180236884,1597353741.92284
Malaysia,MYS,2020,1.56448194135702,11.3856806445869,9957.52626697613,337456163961.211,53.8128736631656,34.69,73.1260443884642,234766000000.0,101907.0,3.50293974590154,0.422776119475248,1426684074.92524
Malaysia,MYS,2021,1.43359401549096,12.447410329578,10903.1037480772,373784553029.978,51.6786836379514,32.19,70.2832707695381,299425000000.0,188506.0,4.71802600814694,0.415301972862394,1552334622.98838
Malaysia,MYS,2022,1.19341792760023,17.0810793062688,11754.5678336248,407830525989.553,58.2818244031486,,66.6596858804422,352094000000.0,188154.0,3.94576691783134,0.396663370541767,1617714310.48838
Malaysia,MYS,2023,1.17817215757273,16.512163379367,11386.0395636528,399949418752.657,59.4155074421789,,68.3939118895688,312965000000.0,181071.0,3.79046184791075,0.426163280659906,1704437563.93655
Malaysia,MYS,2024,1.25365419098266,14.4033158188559,11874.4273684245,422227005428.688,58.6276748543331,,69.7825556725704,330419000000.0,174770.0,3.6968299912749,0.380193528996402,1605279752.31516
Mongolia,MNG,2000,24.2432131450539,0.421898129953086,476.02755082717,1136896123.61298,,0.01,22.291836156445,536000000.0,-11241.0,35.5540123396456,0.0968693906991448,1101304.34782609
Mongolia,MNG,2001,17.5188187734565,0.73354422821076,524.453483552485,1267997934.3125,,0.02,29.5127408418453,521000000.0,-10244.0,33.9628085015687,2.1044815521063,26684782.6086956
Mongolia,MNG,2002,12.3745829185291,0.714758877370137,570.249213248399,1396555719.97409,,0.12,29.8624746810562,524000000.0,-8934.0,35.968627173726,4.91894868729657,68695859.2550305
Mongolia,MNG,2003,9.76958104807852,2.25359678877231,643.168068921658,1595297355.78349,,0.01,29.2588184150161,616000000.0,-7986.0,33.2836542198608,4.97433577572138,79355447.0978752
Mongolia,MNG,2004,7.85493868320118,2.99444650595482,794.154552001815,1992066808.09598,,0.02,20.5441752045472,870000000.0,-8148.0,39.8719187634697,10.1657238878555,202508011.372653
